Spørsmål,Svar
Hva betyr 'minimum phase' og hvorfor er det viktig i kanaldesign og equalization?,Minimum phase betyr all energi tidlig i impulssvar. Lettere å equalize og gir lavere delay.
Hvordan estimeres kanalforsinkelse ved hjelp av preamble-korrelasjon?,Ved å korrelere signalet med kjent preamble og måle peakposisjon i tid.
Hva er den teoretiske begrunnelsen for at DBPSK har 3 dB dårligere BER enn BPSK?,DBPSK bruker differens mellom symboler og akkumulerer faserotasjon og støyeffekter over to symboler.
"Hva er en Zadoff-Chu sekvens, og hvorfor brukes den i synkronisering?","Den har konstant amplitude og perfekt korrelasjonsegenskap, ideell for timing og frekvensestimering."
Hva er forskjellen mellom symbol- og framesynkronisering?,Symbolsynkronisering finner korrekt samplingspunkt; framesynkronisering finner starten av pakken.
Hvordan relaterer Barkerkoder seg til korrelasjonsbasert deteksjon?,"De har lav sidelobe-autokorrelasjon, som gir tydelig deteksjon ved korrelasjon."
"Hva er årsaken til at MSK har kontinuerlig fase, og hva gir det av fordeler?",MSK er en type FSK med fasedesign som gir ingen diskontinuiteter – gir smalt spektrum.
Hva er kriteriet for orthogonale frekvenser i FSK for coherent deteksjon?,Minimum frekvensavstand må være 1/2T mellom tonefrekvenser.
Hvordan gir refleksjon på bakken Plane Earth Loss i stedet for fritegnstap?,Direkte og reflektert signal interfererer – PEL kan gi mer enn 40 dB ekstra tap etter breakpoint.
Hva er betydningen av Fresnel-soner i radiolinjer?,De definerer områder rundt LoS som må være fri for hindringer for å unngå diffraksjonstap.
Hvorfor øker fadingmarginen når man ønsker lavere utfallsannsynlighet i store fade?,Fordi større margin trengs for å sikre at selv de dypeste fading-hendelser ikke gir kommunikasjonsbrudd.
Hva er forskjellen på fast fading og slow fading?,Fast fading skjer over symbolsnivå (multi-path); slow fading skjer over mange symboler (skyggelegging).
Hvordan påvirker vinkelspredning korrelasjonen mellom antenneelementer i MIMO?,"Stor spredning gir lav korrelasjon, som øker kanalens rank og kapasitet."
Hvordan estimeres båndbredde i praksis for måling av spektral effektivitet?,Man måler 3 dB eller 99 %-energi bredde og deler bitrate på den.
Hva er årsaken til at kanalmodellen for GSM bruker Rayleigh eller Rice?,"Mobilmiljø gir mange refleksjoner; LoS gir Rice, mens urban gir Rayleigh."
Hvordan oppstår Doppler-frekvensen og hva påvirker den?,Bevegelse mellom TX og RX gir frekvensskift: f_D = (v/c)*f_c.
Hva er Jakes’ modell og hva beskriver den?,Den gir teoretisk Doppler-spektrum for isotropisk spredning i mobilkanal.
Hva er multipath delay spread og hvorfor er det kritisk i bredbåndsystemer?,Det gir intersymbolinterferens og avgjør behovet for equalizer eller OFDM.
Hva er sammenhengen mellom kanalens delay spread og systemets koherensbåndbredde?,"Jo større delay spread, jo smalere koherensbåndbredde – det avgjør fadingtype."
Hva er betydningen av coherence distance?,Avstand der kanalimpulsresponsen fortsatt er korrelert – viktig for spatial diversity.
Hva menes med channel sounding?,Prosess der man estimerer kanalimpulsresponsen ved å sende kjent testsignal.
Hvorfor kan OFDM takle frekvensselektiv fading uten equalizer?,Fordi det konverterer kanal til mange flate smalbånds subkanaler.
Hva er SNR gap og hvordan relaterer det til kanalens kapasitet?,Det er differansen i dB mellom faktisk SNR og ideell Shannon-SNR for gitt BER.
